Random_Income,Date,Income Source
498,01/01/2018,Salary
456,02/01/2018,Freelancing
289,03/01/2018,Business
612,04/01/2018,Investments
333,05/01/2018,Pension
587,06/01/2018,Rental Income
210,08/01/2018,Online Sales
695,09/01/2018,Consulting
411,10/01/2018,Tutoring
528,11/01/2018,YouTube Revenue
376,12/01/2018,Salary
654,13/01/2018,Freelancing
222,15/01/2018,Business
599,16/01/2018,Investments
480,19/01/2018,Pension
315,20/01/2018,Rental Income
678,22/01/2018,Online Sales
250,23/01/2018,Consulting
543,24/01/2018,Tutoring
391,25/01/2018,YouTube Revenue
627,29/01/2018,Salary
298,01/02/2018,Freelancing
571,02/02/2018,Business
439,03/02/2018,Investments
355,04/02/2018,Pension
682,05/02/2018,Rental Income
237,06/02/2018,Online Sales
516,07/02/2018,Consulting
465,09/02/2018,Tutoring
302,10/02/2018,YouTube Revenue
669,11/02/2018,Salary
275,12/02/2018,Freelancing
550,14/02/2018,Business
403,15/02/2018,Investments
635,16/02/2018,Pension
321,20/02/2018,Rental Income
594,21/02/2018,Online Sales
499,22/02/2018,Consulting
368,26/02/2018,Tutoring
647,27/02/2018,YouTube Revenue
218,01/03/2018,Salary
532,02/03/2018,Freelancing
471,03/03/2018,Business
310,04/03/2018,Investments
675,05/03/2018,Pension
263,07/03/2018,Rental Income
561,08/03/2018,Online Sales
415,09/03/2018,Consulting
620,12/03/2018,Tutoring
339,13/03/2018,YouTube Revenue
580,14/03/2018,Salary
488,15/03/2018,Freelancing
351,16/03/2018,Business
690,17/03/2018,Investments
229,19/03/2018,Pension
505,20/03/2018,Rental Income
450,22/03/2018,Online Sales
307,23/03/2018,Consulting
662,26/03/2018,Tutoring
282,28/03/2018,YouTube Revenue
540,29/03/2018,Salary
397,30/03/2018,Freelancing
631,31/03/2018,Business
318,01/04/2018,Investments
577,02/04/2018,Pension
492,03/04/2018,Rental Income
371,04/04/2018,Online Sales
658,06/04/2018,Consulting
205,08/04/2018,Tutoring
520,09/04/2018,YouTube Revenue
460,11/04/2018,Salary
300,12/04/2018,Freelancing
670,13/04/2018,Business
270,14/04/2018,Investments
555,16/04/2018,Pension
410,18/04/2018,Rental Income
625,20/04/2018,Online Sales
330,21/04/2018,Consulting
590,22/04/2018,Tutoring
485,23/04/2018,YouTube Revenue
360,24/04/2018,Salary
650,25/04/2018,Freelancing
215,26/04/2018,Business
525,27/04/2018,Investments
475,28/04/2018,Pension
305,29/04/2018,Rental Income
665,30/04/2018,Online Sales
278,01/05/2018,Consulting
545,02/05/2018,Tutoring
400,03/05/2018,YouTube Revenue
630,04/05/2018,Salary
325,05/05/2018,Freelancing
585,06/05/2018,Business
490,09/05/2018,Investments
365,10/05/2018,Pension
645,11/05/2018,Rental Income
220,12/05/2018,Online Sales
530,14/05/2018,Consulting
470,15/05/2018,Tutoring
312,17/05/2018,YouTube Revenue
672,18/05/2018,Salary
260,19/05/2018,Freelancing
565,21/05/2018,Business
412,22/05/2018,Investments
622,24/05/2018,Pension
335,25/05/2018,Rental Income
582,28/05/2018,Online Sales
480,29/05/2018,Consulting
358,01/06/2018,Tutoring
685,02/06/2018,YouTube Revenue
230,03/06/2018,Salary
510,04/06/2018,Freelancing
455,06/06/2018,Business
308,08/06/2018,Investments
667,09/06/2018,Pension
272,10/06/2018,Rental Income
552,12/06/2018,Online Sales
405,14/06/2018,Consulting
633,15/06/2018,Tutoring
320,16/06/2018,YouTube Revenue
592,18/06/2018,Salary
495,19/06/2018,Freelancing
363,20/06/2018,Business
648,21/06/2018,Investments
212,22/06/2018,Pension
522,23/06/2018,Rental Income
462,25/06/2018,Online Sales
303,26/06/2018,Consulting
677,27/06/2018,Tutoring
265,28/06/2018,YouTube Revenue
558,01/07/2018,Salary
418,02/07/2018,Freelancing
618,04/07/2018,Business
337,05/07/2018,Investments
589,06/07/2018,Pension
482,08/07/2018,Rental Income
353,09/07/2018,Online Sales
693,10/07/2018,Consulting
225,11/07/2018,Tutoring
508,14/07/2018,YouTube Revenue
458,15/07/2018,Salary
301,17/07/2018,Freelancing
660,18/07/2018,Business
285,20/07/2018,Investments
548,21/07/2018,Pension
395,23/07/2018,Rental Income
638,24/07/2018,Online Sales
315,25/07/2018,Consulting
575,26/07/2018,Tutoring
497,28/07/2018,YouTube Revenue
373,30/07/2018,Salary
655,31/07/2018,Freelancing
208,01/08/2018,Business
518,02/08/2018,Investments
468,03/08/2018,Pension
309,04/08/2018,Rental Income
673,06/08/2018,Online Sales
268,09/08/2018,Consulting
553,10/08/2018,Tutoring
408,11/08/2018,YouTube Revenue
628,15/08/2018,Salary
332,16/08/2018,Freelancing
584,17/08/2018,Business
487,18/08/2018,Investments
356,20/08/2018,Pension
688,21/08/2018,Rental Income
235,22/08/2018,Online Sales
513,24/08/2018,Consulting
463,27/08/2018,Tutoring
306,30/08/2018,YouTube Revenue
664,31/08/2018,Salary
279,01/09/2018,Freelancing
542,02/09/2018,Business
393,04/09/2018,Investments
636,07/09/2018,Pension
317,09/09/2018,Rental Income
